"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","478","Login page is displayed correctly","Surefire suite","Sat Feb 28 15:17:42 ICT 2026","passed","Sat Feb 28 15:17:42 ICT 2026","com.automation.ui.LoginTest","Surefire test","com.automation.ui.LoginTest","testLoginPageDisplayed"
"","12033","Valid login with correct credentials","Surefire suite","Sat Feb 28 15:17:44 ICT 2026","failed","Sat Feb 28 15:17:56 ICT 2026","com.automation.ui.LoginTest","Surefire test","com.automation.ui.LoginTest","testValidLogin"
