"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","UI Tests","1","Login","0","0","User can login with valid credentials","0"
"0","UI Tests","0","Login","1","0","Login page loads correctly","0"
